timestamp ,open    ,high    ,low     ,close   ,adjusted close,volume    ,dividend amount
2002-04-30,59.8300 ,60.4000 ,51.4400 ,52.2600 ,16.8681       ,1417479400,0.0000
2002-03-28,59.0500 ,65.0000 ,58.3100 ,60.3100 ,19.4665       ,1073244200,0.0000
2002-02-28,64.1500 ,64.5010 ,57.1500 ,58.3400 ,18.8306       ,1131159200,0.0000
2002-01-31,66.6500 ,70.6200 ,61.3300 ,63.7100 ,20.5639       ,1360115800,0.0000
2001-12-31,63.8300 ,69.8910 ,63.8000 ,66.2500 ,21.3837       ,977089000 ,0.0000
2001-11-30,60.0800 ,68.3400 ,59.6000 ,64.2100 ,20.7253       ,1330968600,0.0000
2001-10-31,50.9400 ,63.6300 ,50.4128 ,58.1500 ,18.7693       ,1750891000,0.0000
2001-09-28,57.1900 ,59.0800 ,47.5000 ,51.1700 ,16.5163       ,1510824400,0.0000
2001-08-31,66.8000 ,67.5400 ,56.3000 ,57.0500 ,18.4142       ,1153896400,0.0000
2001-07-31,72.0500 ,73.1500 ,64.2000 ,66.1900 ,21.3644       ,1455201000,0.0000
2001-06-29,69.6000 ,76.1500 ,66.0100 ,73.0000 ,23.5625       ,1449177800,0.0000
2001-05-31,67.6600 ,72.1500 ,67.2500 ,69.1800 ,22.3295       ,1777305800,0.0000
2001-04-30,54.8130 ,71.1000 ,51.0630 ,67.7500 ,21.8679       ,2075807000,0.0000
2001-03-30,58.5630 ,61.1250 ,49.7500 ,54.6880 ,17.6517       ,1895349800,0.0000
2001-02-28,60.8130 ,65.0630 ,53.8750 ,59.0000 ,19.0436       ,1536895600,0.0000
2001-01-31,44.1250 ,64.7500 ,42.8750 ,61.0630 ,19.7094       ,2005531200,0.0000
2000-12-29,58.0630 ,60.6248 ,40.2500 ,43.3750 ,14.0003       ,2056668200,0.0000
2000-11-30,68.5000 ,72.3750 ,57.0000 ,57.3750 ,18.5191       ,1983462600,0.0000
2000-10-31,60.5000 ,70.1250 ,48.4380 ,68.8750 ,22.2310       ,2469415600,0.0000
2000-09-29,70.0000 ,72.0630 ,58.6250 ,60.3130 ,19.4673       ,1425533800,0.0000
2000-08-31,69.9380 ,74.8750 ,68.1250 ,69.8130 ,22.5336       ,1219399800,0.0000
2000-07-31,79.6880 ,82.8750 ,67.2500 ,69.8130 ,22.5336       ,1234185800,0.0000
2000-06-30,64.3750 ,82.1880 ,63.8130 ,80.0000 ,25.8219       ,1467050200,0.0000
2000-05-31,72.8750 ,74.0000 ,60.3750 ,62.5630 ,20.1935       ,1344430800,0.0000
2000-04-28,94.4380 ,96.5000 ,65.0000 ,69.7500 ,22.5134       ,2258146600,0.0000
2000-03-31,89.6250 ,115.0000,88.9380 ,106.2500,34.2947       ,2028187600,0.0000
2000-02-29,98.5000 ,110.0000,88.1250 ,89.3750 ,28.8479       ,1334487600,0.0000
2000-01-31,117.3750,118.6250,94.8750 ,97.8750 ,31.5914       ,1274875200,0.0000
1999-12-31,91.0630 ,119.9300,90.8750 ,116.7500,37.6838       ,1260977800,0.0000
